Current_A,Voltage_V,Temperature_C,SOC_percent,Mask
-5.2,371.1,13.0,52.8,1
-5.2,371.1,13.0,52.8,0
-4.91,371.07,13.0,52.8,0
-4.36,371.02,13.0,52.8,0
-4.31,371.03,13.0,52.8,0
-4.71,371.08,13.0,52.8,0
-4.66,371.1,13.0,52.8,0
-4.21,371.1,13.0,52.8,0
-4.03,371.1,13.0,52.8,0
-4.08,371.1,13.0,52.8,0
-4.23,371.1,13.0,52.8,0
-4.48,371.1,13.0,52.8,0
-4.49,371.07,13.0,52.8,0
-4.29,371.02,13.0,52.8,0
-4.33,371.03,13.0,52.8,0
-4.58,371.08,13.0,52.8,0
-4.83,371.1,13.0,52.8,0
-5.08,371.1,13.0,52.8,0
-4.99,371.07,13.0,52.8,0
-4.59,371.02,13.0,52.8,0
-4.51,371.03,13.0,52.8,0
-4.71,371.08,13.0,52.8,0
-4.56,371.1,13.0,52.8,0
-4.11,371.1,13.0,52.8,0
-3.93,371.1,13.0,52.8,0
-3.98,371.1,13.0,52.8,0
-4.16,371.1,13.0,52.8,0
-4.46,371.1,13.0,52.8,0
-4.44,371.1,13.0,52.8,0
-4.14,371.1,13.0,52.8,0
-4.11,371.1,13.0,52.8,0
-4.31,371.1,13.0,52.8,0
-4.61,371.1,13.0,52.8,0
-5.01,371.1,13.0,52.8,0
-4.99,371.1,13.0,52.8,0
-4.59,371.1,13.0,52.8,0
-4.66,371.1,13.0,52.8,0
-5.16,371.1,13.0,52.8,0
-5.08,371.1,13.0,52.8,0
-4.48,371.1,13.0,52.8,0
-4.2,371.1,13.0,52.8,0
-4.2,371.1,13.0,52.8,0
-4.49,371.1,13.0,52.8,0
-5.04,371.1,13.0,52.8,0
-5.19,371.07,13.0,52.8,0
-4.99,371.02,13.0,52.8,0
-5.38,370.97,13.0,52.8,0
-6.28,370.92,13.0,52.8,0
-7.25,370.87,13.0,52.8,0
-8.3,370.82,13.0,52.8,0
-8.85,370.75,13.0,52.8,0
-8.95,370.65,13.0,52.8,0
-9.53,370.57,13.0,52.8,0
-10.53,370.52,13.0,52.8,0
-11.16,370.47,13.0,52.8,0
-11.46,370.42,13.0,52.8,0
-12.02,370.35,13.0,52.8,0
-12.82,370.25,13.0,52.8,0
-13.83,370.17,13.0,52.8,0
-15.03,370.12,13.0,52.8,0
-15.78,370.05,13.0,52.8,0
-16.13,369.95,13.0,52.8,0
-16.46,369.9,13.0,52.8,0
-16.76,369.9,13.0,52.8,0
-16.48,369.95,13.0,52.8,0
-15.68,370.05,13.0,52.77,0
-15.17,370.05,13.0,52.72,0
-14.92,369.95,13.0,52.7,0
-16.62,369.79,13.0,52.7,0
-20.07,369.59,13.0,52.7,0
-22.84,369.34,13.0,52.7,0
-24.99,369.04,13.0,52.7,0
-27.85,368.74,13.0,52.7,0
-31.35,368.44,13.0,52.7,0
-34.29,368.17,13.0,52.7,0
-36.74,367.92,13.0,52.7,0
-38.24,367.72,13.0,52.7,0
-38.89,367.57,13.0,52.7,0
-40.07,367.47,13.0,52.7,0
-41.72,367.42,13.0,52.7,0
-42.29,367.35,13.0,52.7,0
-41.89,367.25,13.0,52.7,0
-42.36,367.17,13.0,52.7,0
-43.61,367.12,13.0,52.7,0
-44.54,367.05,13.0,52.7,0
-45.19,366.95,13.0,52.7,0
-43.94,367.01,13.0,52.7,0
-40.99,367.21,13.0,52.7,0
-31.73,368.07,13.0,52.7,0
-16.83,369.52,13.0,52.7,0
-6.18,370.54,13.0,52.7,0
0.67,371.19,13.0,52.7,0
5.88,371.74,13.0,52.7,0
9.63,372.19,13.0,52.7,0
12.56,372.53,13.0,52.7,0
14.76,372.78,13.0,52.7,0
15.19,372.82,13.0,52.7,0
14.04,372.67,13.0,52.7,0
11.92,372.52,13.0,52.7,0
8.92,372.37,13.0,52.7,0
6.52,372.17,13.0,52.7,0
4.67,371.92,13.0,52.7,0
2.8,371.72,13.0,52.7,0
0.9,371.57,13.0,52.7,0
-1.08,371.42,13.0,52.7,0
-3.13,371.27,13.0,52.7,0
-4.31,371.12,13.0,52.7,0
-4.71,370.97,13.0,52.7,0
-5.4,370.9,13.0,52.7,0
-6.35,370.9,13.0,52.7,0
-6.69,370.87,13.0,52.7,0
-6.49,370.82,13.0,52.7,0
-6.19,370.8,13.0,52.7,0
-5.79,370.8,13.0,52.7,0
-5.76,370.83,13.0,52.7,0
-6.06,370.88,13.0,52.7,0
-5.81,370.9,13.0,52.7,0
-5.05,370.9,13.0,52.7,0
-4.81,370.93,13.0,52.7,0
-5.01,370.98,13.0,52.7,0
-5.05,370.97,13.0,52.7,0
-4.95,370.92,13.0,52.7,0
-4.93,370.9,13.0,52.7,0
-4.98,370.9,13.0,52.7,0
-5.26,370.93,13.0,52.7,0
-5.76,370.98,13.0,52.7,0
-5.76,370.97,13.0,52.7,0
-5.31,370.92,13.0,52.7,0
-5.28,370.9,13.0,52.7,0
-5.63,370.9,13.0,52.7,0
-5.83,370.9,13.0,52.7,0
-5.88,370.9,13.0,52.7,0
-5.82,370.87,13.0,52.7,0
-5.67,370.82,13.0,52.7,0
-6.0,370.83,13.0,52.7,0
-6.75,370.88,13.0,52.7,0
-7.73,370.79,13.0,52.7,0
-8.93,370.59,13.0,52.7,0
-11.82,370.29,13.0,52.7,0
-16.22,369.89,13.0,52.7,0
-19.83,369.54,13.0,52.7,0
-22.73,369.24,13.0,52.7,0
-26.98,368.81,13.0,52.7,0
-32.43,368.26,13.0,52.7,0
-37.64,367.76,13.0,52.7,0
-42.64,367.31,13.0,52.7,0
-46.87,366.86,13.0,52.7,0
-50.42,366.41,13.0,52.7,0
-54.16,366.04,13.0,52.7,0
-58.06,365.74,13.0,52.7,0
-61.96,365.39,13.0,52.7,0
-65.86,364.99,13.0,52.7,0
-69.2,364.59,13.0,52.7,0
-72.05,364.19,13.0,52.7,0
-75.54,363.84,13.0,52.7,0
-79.59,363.54,13.0,52.7,0
-82.85,363.19,13.0,52.7,0
-85.4,362.79,13.0,52.7,0
-89.13,362.39,13.0,52.7,0
-93.93,361.99,13.0,52.67,0
-98.23,361.56,13.0,52.62,0
-102.08,361.11,13.0,52.6,0
-105.35,360.74,13.0,52.6,0
-108.1,360.44,13.0,52.6,0
-111.09,360.14,13.0,52.6,0
-114.29,359.84,13.0,52.6,0
-116.8,359.54,13.0,52.6,0
-118.7,359.24,13.0,52.6,0
-120.87,358.97,13.0,52.6,0
-123.27,358.72,13.0,52.6,0
-124.45,358.55,13.0,52.6,0
-124.55,358.45,13.0,52.6,0
-124.26,358.43,13.0,52.6,0
-123.61,358.48,13.0,52.6,0
-122.06,358.61,13.0,52.6,0
-119.71,358.81,13.0,52.6,0
-112.85,359.4,13.0,52.6,0
-101.95,360.35,13.0,52.6,0
-91.53,361.33,13.0,52.6,0
-81.53,362.33,13.0,52.6,0
-73.23,363.17,13.0,52.6,0
-66.47,363.86,13.0,52.57,0
-61.08,364.36,13.0,52.52,0
-56.98,364.66,13.0,52.5,0
-54.77,364.88,13.0,52.5,0
