Current_A,Voltage_V,Temperature_C,SOC_percent,Mask
-1.5,391.4,19.0,86.2,1
-1.64,391.35,19.0,86.2,0
-1.79,391.3,19.0,86.2,0
-1.8,391.3,19.0,86.2,0
-1.8,391.3,19.0,86.2,0
-1.8,391.3,19.0,86.2,0
-1.8,391.3,19.0,86.2,0
-1.75,391.3,19.0,86.2,0
-1.7,391.3,19.0,86.2,0
-1.89,391.3,19.0,86.2,0
-2.09,391.3,19.0,86.2,0
-2.29,391.3,19.0,86.2,0
-2.49,391.3,19.0,86.2,0
-2.69,391.25,19.0,86.2,0
-2.89,391.2,19.0,86.2,0
-3.18,391.2,19.0,86.2,0
-3.48,391.2,19.0,86.2,0
-3.83,391.15,19.0,86.2,0
-4.18,391.1,19.0,86.2,0
-4.67,391.1,19.0,86.2,0
-5.17,391.1,19.0,86.2,0
-5.48,391.05,19.0,86.2,0
-5.78,391.0,19.0,86.2,0
-5.99,390.95,19.0,86.2,0
-6.19,390.9,19.0,86.2,0
-6.25,390.9,19.0,86.2,0
-6.3,390.9,19.0,86.2,0
-6.39,390.9,19.0,86.2,0
-6.49,390.9,19.0,86.2,0
-6.55,390.9,19.0,86.2,0
-6.6,390.9,19.0,86.2,0
-6.93,390.85,19.0,86.2,0
-7.28,390.8,19.0,86.2,0
-7.86,390.75,19.0,86.2,0
-8.46,390.7,19.0,86.2,0
-9.99,390.61,19.0,86.2,0
-11.59,390.51,19.0,86.2,0
-12.45,390.41,19.0,86.2,0
-13.25,390.31,19.0,86.2,0
-13.39,390.3,19.0,86.2,0
-13.49,390.3,19.0,86.2,0
-12.75,390.35,19.0,86.2,0
-11.95,390.4,19.0,86.2,0
-10.73,390.49,19.0,86.2,0
-9.48,390.59,19.0,86.2,0
-8.05,390.69,19.0,86.2,0
-6.6,390.79,19.0,86.2,0
-5.75,390.89,19.0,86.2,0
-4.95,390.99,19.0,86.2,0
-4.48,391.05,19.0,86.2,0
-4.03,391.1,19.0,86.2,0
-3.67,391.1,19.0,86.2,0
-3.32,391.1,19.0,86.2,0
-2.79,391.15,19.0,86.2,0
-2.24,391.2,19.0,86.2,0
-1.83,391.25,19.0,86.2,0
-1.43,391.3,19.0,86.2,0
-1.21,391.3,19.0,86.2,0
-1.01,391.3,19.0,86.2,0
-1.0,391.3,19.0,86.2,0
-1.0,391.3,19.0,86.2,0
-0.95,391.3,19.0,86.2,0
-0.9,391.3,19.0,86.2,0
-1.18,391.3,19.0,86.2,0
-1.48,391.3,19.0,86.2,0
-1.83,391.3,19.0,86.2,0
-2.18,391.3,19.0,86.2,0
