Current_A,Voltage_V,Temperature_C,SOC_percent,Mask
-1.4,392.0,21.0,86.5,1
-1.4,392.0,21.0,86.5,0
-1.43,392.0,21.0,86.5,0
-1.83,391.95,21.0,86.5,0
-2.24,391.9,21.0,86.5,0
-2.74,391.85,21.0,86.5,0
-3.23,391.8,21.0,86.5,0
-3.63,391.75,21.0,86.5,0
-4.02,391.7,21.0,86.5,0
-4.22,391.7,21.0,86.5,0
-4.44,391.7,21.0,86.5,0
-4.89,391.65,21.0,86.5,0
-5.37,391.6,21.0,86.5,0
-6.17,391.55,21.0,86.5,0
-7.04,391.49,21.0,86.5,0
-8.79,391.34,21.0,86.5,0
-10.51,391.19,21.0,86.5,0
-11.86,391.09,21.0,86.5,0
-13.19,390.99,21.0,86.5,0
-14.29,390.89,21.0,86.5,0
-15.41,390.79,21.0,86.5,0
-16.71,390.69,21.0,86.5,0
-17.9,390.6,21.0,86.5,0
-17.95,390.55,21.0,86.5,0
-17.9,390.51,21.0,86.5,0
-16.8,390.61,21.0,86.5,0
-15.59,390.71,21.0,86.5,0
-13.29,390.86,21.0,86.5,0
-11.04,391.01,21.0,86.5,0
-9.24,391.16,21.0,86.5,0
-7.52,391.31,21.0,86.5,0
-6.67,391.41,21.0,86.5,0
-5.86,391.5,21.0,86.5,0
-5.36,391.5,21.0,86.5,0
-4.87,391.5,21.0,86.5,0
-4.52,391.55,21.0,86.5,0
-4.19,391.6,21.0,86.5,0
-4.04,391.6,21.0,86.5,0
-3.87,391.6,21.0,86.5,0
-3.57,391.65,21.0,86.5,0
-3.23,391.7,21.0,86.5,0
-2.48,391.75,21.0,86.5,0
-1.8,391.8,21.0,86.5,0
-1.75,391.8,21.0,86.5,0
-1.72,391.8,21.0,86.5,0
-1.92,391.8,21.0,86.5,0
-2.09,391.8,21.0,86.5,0
-1.99,391.8,21.0,86.5,0
-1.9,391.8,21.0,86.5,0
-1.95,391.8,21.0,86.5,0
-2.0,391.8,21.0,86.5,0
-2.05,391.8,21.0,86.5,0
-2.14,391.8,21.0,86.5,0
-2.59,391.75,21.0,86.5,0
-3.04,391.7,21.0,86.5,0
-3.54,391.7,21.0,86.5,0
-4.09,391.69,21.0,86.5,0
-5.04,391.59,21.0,86.5,0
-5.94,391.5,21.0,86.5,0
-6.39,391.45,21.0,86.5,0
-6.83,391.4,21.0,86.5,0
-7.13,391.4,21.0,86.5,0
