Current_A,Voltage_V,Temperature_C,SOC_percent,Mask
-1.0,392.5,19.0,87.3,1
-1.0,392.5,19.0,87.3,0
-1.0,392.48213,19.0,87.3,0
-1.0,392.43211,19.0,87.3,0
-1.0,392.4,19.0,87.3,0
-1.0,392.4,19.0,87.3,0
-1.0,392.4,19.0,87.3,0
-1.0,392.4,19.0,87.3,0
-1.0,392.4,19.0,87.3,0
-1.0,392.4,19.0,87.3,0
-0.9821,392.4179,19.0,87.3,1
-0.93203,392.46797,19.0,87.3,1
-0.9,392.48199,19.0,87.3,1
-0.9,392.43199,19.0,87.3,1
-0.91801,392.4,19.0,87.3,1
-0.96801,392.4,19.0,87.3,1
-1.01802,392.4,19.0,87.3,0
-1.06802,392.4,19.0,87.3,0
-1.08198,392.4,19.0,87.3,0
-1.03198,392.4,19.0,87.3,0
-1.0,392.4,19.0,87.3,0
-1.0,392.4,19.0,87.3,0
-1.0,392.4,19.0,87.3,0
-1.0,392.4,19.0,87.3,0
-1.0,392.4,19.0,87.3,0
-1.0,392.4,19.0,87.3,0
-1.0,392.4,19.0,87.3,0
-1.0,392.4,19.0,87.3,0
-0.98198,392.4,19.0,87.3,1
-0.93198,392.4,19.0,87.3,1
-0.9,392.4,19.0,87.3,1
-0.9,392.4,19.0,87.3,1
-0.9,392.4,19.0,87.3,1
-0.9,392.4,19.0,87.3,1
-0.91804,392.4,19.0,87.3,1
-0.96804,392.4,19.0,87.3,1
-1.0,392.4,19.0,87.3,0
-1.0,392.4,19.0,87.3,0
-1.0,392.4,19.0,87.3,0
-1.0,392.4,19.0,87.3,0
-1.0,392.41804,19.0,87.3,0
-1.0,392.46805,19.0,87.3,0
-0.98195,392.48195,19.0,87.3,1
-0.93195,392.43195,19.0,87.3,1
-0.91805,392.4,19.0,87.3,1
-0.96805,392.4,19.0,87.3,1
-1.0,392.4,19.0,87.3,0
-1.0,392.4,19.0,87.3,0
-1.0,392.41805,19.0,87.3,0
-1.0,392.46805,19.0,87.3,0
-0.98194,392.48195,19.0,87.3,1
-0.93194,392.43195,19.0,87.3,1
-0.91806,392.41806,19.0,87.3,1
-0.96806,392.46806,19.0,87.3,1
-1.0,392.48192,19.0,87.3,0
-1.0,392.43185,19.0,87.3,0
-1.0182,392.4,19.0,87.3,0
-1.0682,392.4,19.0,87.3,0
-1.0636,392.4,19.0,87.3,0
-0.9636,392.4,19.0,87.3,1
-0.9,392.4,19.0,87.3,1
-0.9,392.4,19.0,87.3,1
-0.9182,392.4,19.0,87.3,1
-0.9682,392.4,19.0,87.3,1
-1.0,392.4,19.0,87.3,0
-1.0,392.4,19.0,87.3,0
-1.0,392.4,19.0,87.3,0
-1.0,392.4,19.0,87.3,0
-1.0,392.41819,19.0,87.3,0
-1.0,392.46821,19.0,87.3,0
-0.98178,392.48179,19.0,87.3,1
