Current_A,Voltage_V,Temperature_C,SOC_percent,Mask
-10.9,390.6,11.0,77.4,1
-10.9,390.6,11.0,77.4,0
-10.9,390.6,11.0,77.4,0
-10.31,390.5,11.0,77.4,0
-9.71,390.4,11.0,77.4,0
-10.58,390.45,11.0,77.4,0
-11.48,390.5,11.0,77.4,0
-10.42,390.35,11.0,77.4,0
-9.32,390.2,11.0,77.4,0
-10.52,390.25,11.0,77.4,0
-11.77,390.3,11.0,77.4,0
-11.9,390.25,11.0,77.4,0
-12.0,390.2,11.0,77.4,0
-12.0,390.15,11.0,77.4,0
-12.0,390.1,11.0,77.4,0
-13.03,390.1,11.0,77.4,0
-14.08,390.1,11.0,77.4,0
-13.56,390.0,11.0,77.4,0
-13.01,389.9,11.0,77.4,0
-13.83,389.95,11.0,77.4,0
-14.68,390.0,11.0,77.4,0
-14.85,389.9,11.0,77.4,0
-15.0,389.8,11.0,77.4,0
-14.95,389.8,11.0,77.4,0
-14.9,389.8,11.0,77.4,0
-15.78,389.75,11.0,77.4,0
-16.68,389.7,11.0,77.4,0
-16.41,389.65,11.0,77.4,0
-16.11,389.6,11.0,77.4,0
-16.83,389.6,11.0,77.4,0
-17.59,389.6,11.0,77.4,0
-17.5,389.5,11.0,77.4,0
-17.4,389.4,11.0,77.4,0
-17.55,389.4,11.0,77.4,0
-17.7,389.4,11.0,77.4,0
-17.94,389.35,11.0,77.4,0
-18.2,389.3,11.0,77.4,0
-18.44,389.3,11.0,77.4,0
-18.69,389.3,11.0,77.4,0
-18.9,389.25,11.0,77.4,0
-19.1,389.2,11.0,77.4,0
-19.1,389.2,11.0,77.4,0
-19.1,389.2,11.0,77.4,0
-19.1,389.2,11.0,77.4,0
-19.1,389.2,11.0,77.4,0
-19.1,389.15,11.0,77.4,0
-19.1,389.1,11.0,77.4,0
-19.1,389.1,11.0,77.4,0
-19.1,389.1,11.0,77.4,0
-19.1,389.1,11.0,77.4,0
-19.1,389.1,11.0,77.4,0
-19.05,389.1,11.0,77.4,0
-19.0,389.1,11.0,77.4,0
-18.95,389.1,11.0,77.4,0
-18.9,389.1,11.0,77.4,0
-18.9,389.1,11.0,77.4,0
-18.9,389.1,11.0,77.4,0
-18.8,389.1,11.0,77.4,0
-18.7,389.1,11.0,77.4,0
-18.6,389.1,11.0,77.4,0
-18.5,389.1,11.0,77.4,0
-18.5,389.1,11.0,77.4,0
-18.5,389.1,11.0,77.4,0
-18.4,389.1,11.0,77.4,0
-18.3,389.1,11.0,77.4,0
-18.25,389.1,11.0,77.4,0
-18.2,389.1,11.0,77.4,0
-18.2,389.1,11.0,77.4,0
-18.2,389.1,11.0,77.4,0
-18.05,389.15,11.0,77.4,0
-17.9,389.2,11.0,77.4,0
-17.9,389.2,11.0,77.4,0
-17.9,389.2,11.0,77.4,0
-17.61,389.2,11.0,77.4,0
-17.31,389.2,11.0,77.4,0
-17.5,389.2,11.0,77.4,0
-17.7,389.2,11.0,77.4,0
-17.65,389.2,11.0,77.4,0
-17.6,389.2,11.0,77.4,0
-17.5,389.2,11.0,77.4,0
-17.4,389.2,11.0,77.4,0
-17.3,389.2,11.0,77.4,0
-17.2,389.2,11.0,77.4,0
-16.96,389.2,11.0,77.4,0
-16.71,389.2,11.0,77.4,0
-16.9,389.2,11.0,77.4,0
-17.1,389.2,11.0,77.4,0
-16.86,389.2,11.0,77.4,0
-16.61,389.2,11.0,77.4,0
-16.6,389.2,11.0,77.4,0
-16.6,389.2,11.0,77.4,0
-16.65,389.2,11.0,77.4,0
-16.7,389.2,11.0,77.4,0
-16.46,389.2,11.0,77.4,0
-16.21,389.2,11.0,77.4,0
-16.3,389.25,11.0,77.4,0
-16.4,389.3,11.0,77.4,0
-16.3,389.25,11.0,77.4,0
