Current_A,Voltage_V,Temperature_C,SOC_percent,Mask
-10.4,390.0,11.0,84.4,1
-11.2,390.03,11.0,84.4,0
-12.45,390.08,11.0,84.4,0
-12.61,390.04,11.0,84.4,0
-12.16,389.94,11.0,84.4,0
-12.8,389.9,11.0,84.4,0
-14.05,389.9,11.0,84.4,0
-13.92,389.84,11.0,84.4,0
-13.02,389.74,11.0,84.4,0
-13.47,389.73,11.0,84.4,0
-14.67,389.78,11.0,84.4,0
-14.81,389.74,11.0,84.4,0
-14.36,389.64,11.0,84.4,0
-14.55,389.63,11.0,84.4,0
-15.1,389.68,11.0,84.4,0
-15.07,389.64,11.0,84.4,0
-14.72,389.54,11.0,84.4,0
-15.18,389.5,11.0,84.4,0
-16.08,389.5,11.0,84.4,0
-16.27,389.47,11.0,84.4,0
-16.07,389.42,11.0,84.4,0
-16.39,389.37,11.0,84.4,0
-16.99,389.32,11.0,84.4,0
-17.17,389.27,11.0,84.4,0
-17.12,389.22,11.0,84.4,0
-17.49,389.2,11.0,84.4,0
-18.09,389.2,11.0,84.4,0
-18.33,389.17,11.0,84.4,0
-18.38,389.12,11.0,84.4,0
-18.63,389.07,11.0,84.4,0
-18.98,389.02,11.0,84.4,0
-19.13,388.97,11.0,84.4,0
-19.18,388.92,11.0,84.4,0
-19.23,388.9,11.0,84.4,0
-19.28,388.9,11.0,84.4,0
-19.3,388.9,11.0,84.4,0
-19.3,388.9,11.0,84.4,0
-19.33,388.9,11.0,84.4,0
-19.38,388.9,11.0,84.4,0
-19.37,388.9,11.0,84.4,0
-19.32,388.9,11.0,84.4,0
-19.3,388.9,11.0,84.4,0
-19.3,388.9,11.0,84.4,0
-19.27,388.9,11.0,84.4,0
-19.22,388.9,11.0,84.4,0
-19.17,388.9,11.0,84.4,0
-19.12,388.9,11.0,84.4,0
-19.1,388.9,11.0,84.4,0
-19.1,388.9,11.0,84.4,0
-19.04,388.9,11.0,84.4,0
-18.94,388.9,11.0,84.4,0
-18.87,388.9,11.0,84.4,0
-18.82,388.9,11.0,84.4,0
-18.7,388.9,11.0,84.4,0
-18.55,388.9,11.0,84.4,0
-18.5,388.9,11.0,84.4,0
-18.5,388.9,11.0,84.4,0
-18.47,388.9,11.0,84.4,0
-18.42,388.9,11.0,84.4,0
-18.37,388.9,11.0,84.4,0
-18.32,388.9,11.0,84.4,0
-18.27,388.9,11.0,84.4,0
-18.22,388.9,11.0,84.4,0
-18.14,388.9,11.0,84.4,0
-18.04,388.9,11.0,84.4,0
-18.0,388.9,11.0,84.4,0
-18.0,388.9,11.0,84.4,0
-17.97,388.9,11.0,84.4,0
-17.92,388.9,11.0,84.4,0
-17.93,388.9,11.0,84.4,0
-17.98,388.9,11.0,84.4,0
-17.87,388.9,11.0,84.4,0
-17.67,388.9,11.0,84.4,0
-17.57,388.93,11.0,84.4,0
-17.52,388.98,11.0,84.4,0
-17.53,388.97,11.0,84.4,0
-17.58,388.92,11.0,84.4,0
-17.6,388.9,11.0,84.4,0
-17.6,388.9,11.0,84.4,0
-17.5,388.9,11.0,84.4,0
-17.35,388.9,11.0,84.4,0
-17.27,388.9,11.0,84.4,0
-17.22,388.9,11.0,84.4,0
-17.23,388.93,11.0,84.4,0
-17.28,388.98,11.0,84.4,0
-17.3,389.0,11.0,84.4,0
-17.3,389.0,11.0,84.4,0
-17.27,389.0,11.0,84.4,0
-17.22,389.0,11.0,84.4,0
-17.1,388.97,11.0,84.4,0
-16.95,388.92,11.0,84.4,0
-17.0,388.93,11.0,84.4,0
-17.15,388.98,11.0,84.4,0
-17.1,389.0,11.0,84.4,0
-16.95,389.0,11.0,84.4,0
-16.96,388.97,11.0,84.4,0
-17.06,388.92,11.0,84.4,0
-16.97,388.9,11.0,84.4,0
-16.77,388.9,11.0,84.4,0
-16.76,388.9,11.0,84.4,0
-16.86,388.9,11.0,84.4,0
-16.84,388.9,11.0,84.4,0
-16.74,388.9,11.0,84.4,0
-16.83,388.93,11.0,84.4,0
-17.03,388.98,11.0,84.4,0
-16.87,388.97,11.0,84.4,0
-16.52,388.92,11.0,84.4,0
-16.59,388.93,11.0,84.37,0
-16.89,388.98,11.0,84.32,0
-16.84,388.97,11.0,84.3,0
-16.59,388.92,11.0,84.3,0
-16.63,388.93,11.0,84.3,0
-16.83,388.98,11.0,84.3,0
-16.64,388.97,11.0,84.3,0
-16.24,388.92,11.0,84.3,0
-16.36,388.93,11.0,84.3,0
-16.76,388.98,11.0,84.3,0
-16.64,388.97,11.0,84.3,0
-16.24,388.92,11.0,84.3,0
-16.33,388.93,11.0,84.3,0
-16.68,388.98,11.0,84.3,0
-16.57,388.97,11.0,84.3,0
-16.22,388.92,11.0,84.3,0
-16.26,388.93,11.0,84.3,0
-16.51,388.98,11.0,84.3,0
-16.37,388.97,11.0,84.3,0
-16.02,388.92,11.0,84.3,0
-16.13,388.9,11.0,84.3,0
-16.48,388.9,11.0,84.3,0
-16.41,388.9,11.0,84.3,0
-16.11,388.9,11.0,84.3,0
-16.16,388.9,11.0,84.3,0
-16.41,388.9,11.0,84.3,0
-16.18,388.9,11.0,84.3,0
-15.68,388.9,11.0,84.3,0
-15.85,388.9,11.0,84.3,0
-16.4,388.9,11.0,84.3,0
-16.47,388.9,11.0,84.3,0
-16.27,388.9,11.0,84.3,0
-16.23,388.9,11.0,84.3,0
-16.28,388.9,11.0,84.3,0
-16.24,388.9,11.0,84.3,0
-16.14,388.9,11.0,84.3,0
-16.2,388.9,11.0,84.3,0
-16.35,388.9,11.0,84.3,0
-16.34,388.9,11.0,84.3,0
-16.24,388.9,11.0,84.3,0
-16.2,388.9,11.0,84.3,0
-16.2,388.9,11.0,84.3,0
-16.17,388.9,11.0,84.3,0
-16.12,388.9,11.0,84.3,0
-16.16,388.9,11.0,84.3,0
-16.26,388.9,11.0,84.3,0
-16.3,388.9,11.0,84.3,0
-16.3,388.9,11.0,84.3,0
-16.2,388.9,11.0,84.3,0
-16.05,388.9,11.0,84.3,0
-16.06,388.9,11.0,84.3,0
-16.16,388.9,11.0,84.3,0
-16.26,388.87,11.0,84.3,0
-16.36,388.82,11.0,84.3,0
-16.43,388.83,11.0,84.3,0
-16.48,388.88,11.0,84.3,0
-16.21,388.9,11.0,84.3,0
-15.76,388.9,11.0,84.3,0
-15.79,388.9,11.0,84.3,0
-16.09,388.9,11.0,84.3,0
-16.1,388.87,11.0,84.3,0
-15.95,388.82,11.0,84.3,0
-16.09,388.83,11.0,84.3,0
-16.39,388.88,11.0,84.3,0
-16.27,388.87,11.0,84.3,0
-15.92,388.82,11.0,84.3,0
-15.93,388.83,11.0,84.3,0
-16.13,388.88,11.0,84.3,0
-16.07,388.87,11.0,84.3,0
-15.87,388.82,11.0,84.3,0
-16.06,388.8,11.0,84.3,0
-16.46,388.8,11.0,84.3,0
-16.34,388.8,11.0,84.3,0
-15.94,388.8,11.0,84.3,0
-15.96,388.8,11.0,84.3,0
-16.21,388.8,11.0,84.3,0
-16.14,388.8,11.0,84.3,0
-15.89,388.8,11.0,84.3,0
-16.03,388.8,11.0,84.3,0
-16.38,388.8,11.0,84.3,0
-16.27,388.8,11.0,84.3,0
-15.92,388.8,11.0,84.3,0
-15.93,388.8,11.0,84.3,0
-16.13,388.8,11.0,84.3,0
-16.1,388.8,11.0,84.3,0
-15.95,388.8,11.0,84.3,0
-16.16,388.8,11.0,84.3,0
-16.56,388.8,11.0,84.3,0
-16.41,388.77,11.0,84.3,0
-15.96,388.72,11.0,84.3,0
-15.96,388.73,11.0,84.3,0
-16.21,388.78,11.0,84.3,0
-16.2,388.8,11.0,84.3,0
-16.05,388.8,11.0,84.3,0
-16.16,388.8,11.0,84.3,0
-16.41,388.8,11.0,84.3,0
-16.37,388.8,11.0,84.3,0
-16.17,388.8,11.0,84.3,0
-16.13,388.77,11.0,84.3,0
-16.18,388.72,11.0,84.3,0
-16.14,388.7,11.0,84.3,0
-16.04,388.7,11.0,84.3,0
-16.13,388.7,11.0,84.3,0
-16.33,388.7,11.0,84.3,0
-16.3,388.7,11.0,84.3,0
-16.15,388.7,11.0,84.3,0
-16.16,388.7,11.0,84.3,0
-16.26,388.7,11.0,84.3,0
-16.3,388.73,11.0,84.3,0
-16.3,388.78,11.0,84.3,0
-16.24,388.77,11.0,84.3,0
-16.14,388.72,11.0,84.3,0
-16.04,388.7,11.0,84.3,0
-15.94,388.7,11.0,84.3,0
-16.03,388.7,11.0,84.3,0
-16.23,388.7,11.0,84.3,0
-16.33,388.7,11.0,84.3,0
-16.38,388.7,11.0,84.3,0
-16.4,388.7,11.0,84.3,0
-16.4,388.7,11.0,84.3,0
-16.4,388.7,11.0,84.3,0
-16.4,388.7,11.0,84.3,0
-16.34,388.7,11.0,84.3,0
-16.24,388.7,11.0,84.3,0
-16.17,388.7,11.0,84.3,0
-16.12,388.7,11.0,84.3,0
-16.07,388.7,11.0,84.3,0
-16.02,388.7,11.0,84.3,0
-16.16,388.7,11.0,84.3,0
-16.41,388.7,11.0,84.3,0
-16.44,388.7,11.0,84.3,0
-16.34,388.7,11.0,84.3,0
-16.4,388.7,11.0,84.3,0
-16.55,388.7,11.0,84.3,0
-16.47,388.67,11.0,84.3,0
-16.27,388.62,11.0,84.3,0
-16.23,388.63,11.0,84.27,0
-16.28,388.68,11.0,84.22,0
-16.17,388.67,11.0,84.2,0
-15.97,388.62,11.0,84.2,0
-16.06,388.63,11.0,84.2,0
-16.31,388.68,11.0,84.2,0
-16.37,388.67,11.0,84.2,0
-16.32,388.62,11.0,84.2,0
-16.4,388.63,11.0,84.2,0
-16.55,388.68,11.0,84.2,0
-16.41,388.67,11.0,84.2,0
-16.11,388.62,11.0,84.2,0
-16.16,388.63,11.0,84.2,0
-16.41,388.68,11.0,84.2,0
-16.37,388.67,11.0,84.2,0
-16.17,388.62,11.0,84.2,0
-16.33,388.6,11.0,84.2,0
-16.68,388.6,11.0,84.2,0
-16.51,388.6,11.0,84.2,0
-16.06,388.6,11.0,84.2,0
-16.13,388.6,11.0,84.2,0
-16.48,388.6,11.0,84.2,0
-16.44,388.6,11.0,84.2,0
-16.19,388.6,11.0,84.2,0
-16.36,388.6,11.0,84.2,0
-16.76,388.6,11.0,84.2,0
-16.64,388.6,11.0,84.2,0
-16.24,388.6,11.0,84.2,0
-16.26,388.6,11.0,84.2,0
-16.51,388.6,11.0,84.2,0
-16.44,388.6,11.0,84.2,0
-16.19,388.6,11.0,84.2,0
-16.26,388.6,11.0,84.2,0
-16.51,388.6,11.0,84.2,0
-16.54,388.57,11.0,84.2,0
-16.44,388.52,11.0,84.2,0
-16.46,388.53,11.0,84.2,0
-16.56,388.58,11.0,84.2,0
-16.5,388.57,11.0,84.2,0
-16.35,388.52,11.0,84.2,0
-16.36,388.5,11.0,84.2,0
-16.46,388.5,11.0,84.2,0
-16.4,388.53,11.0,84.2,0
-16.25,388.58,11.0,84.2,0
-16.3,388.57,11.0,84.2,0
-16.45,388.52,11.0,84.2,0
-16.4,388.5,11.0,84.2,0
-16.25,388.5,11.0,84.2,0
-16.26,388.5,11.0,84.2,0
-16.36,388.5,11.0,84.2,0
-16.3,388.5,11.0,84.2,0
-16.15,388.5,11.0,84.2,0
-16.2,388.5,11.0,84.2,0
-16.35,388.5,11.0,84.2,0
-16.37,388.5,11.0,84.2,0
-16.32,388.5,11.0,84.2,0
-16.36,388.5,11.0,84.2,0
-16.46,388.5,11.0,84.2,0
-16.4,388.5,11.0,84.2,0
-16.25,388.5,11.0,84.2,0
-16.26,388.5,11.0,84.2,0
-16.36,388.5,11.0,84.2,0
-16.34,388.53,11.0,84.2,0
-16.24,388.58,11.0,84.2,0
-16.3,388.57,11.0,84.2,0
-16.45,388.52,11.0,84.2,0
-16.53,388.5,11.0,84.2,0
-16.58,388.5,11.0,84.2,0
-16.54,388.5,11.0,84.2,0
-16.44,388.5,11.0,84.2,0
-16.43,388.5,11.0,84.2,0
-16.48,388.5,11.0,84.2,0
-16.47,388.5,11.0,84.2,0
-16.42,388.5,11.0,84.2,0
-16.43,388.5,11.0,84.2,0
-16.48,388.5,11.0,84.2,0
-16.4,388.5,11.0,84.2,0
-16.25,388.5,11.0,84.2,0
-16.33,388.5,11.0,84.2,0
-16.53,388.5,11.0,84.2,0
-16.47,388.5,11.0,84.2,0
-16.27,388.5,11.0,84.2,0
-16.3,388.5,11.0,84.2,0
-16.45,388.5,11.0,84.2,0
-16.37,388.5,11.0,84.2,0
-16.17,388.5,11.0,84.2,0
-16.36,388.5,11.0,84.2,0
-16.76,388.5,11.0,84.2,0
-16.77,388.47,11.0,84.2,0
-16.57,388.42,11.0,84.2,0
-16.56,388.43,11.0,84.2,0
-16.66,388.48,11.0,84.2,0
-16.57,388.47,11.0,84.2,0
-16.37,388.42,11.0,84.2,0
-16.49,388.43,11.0,84.2,0
-16.79,388.48,11.0,84.2,0
-16.8,388.47,11.0,84.2,0
-16.65,388.42,11.0,84.2,0
-16.96,388.4,11.0,84.2,0
-17.5,388.4,11.0,84.2,0
-17.83,388.34,11.0,84.2,0
-18.03,388.24,11.0,84.2,0
-18.52,388.17,11.0,84.2,0
-19.17,388.12,11.0,84.2,0
-19.62,388.07,11.0,84.2,0
-19.97,388.02,11.0,84.2,0
-20.36,387.97,11.0,84.2,0
-20.76,387.92,11.0,84.2,0
-20.93,387.87,11.0,84.2,0
-20.98,387.82,11.0,84.2,0
-21.19,387.8,11.0,84.2,0
-21.49,387.8,11.0,84.2,0
-21.5,387.8,11.0,84.2,0
-21.35,387.8,11.0,84.2,0
-21.11,387.83,11.0,84.2,0
-20.81,387.88,11.0,84.2,0
-20.57,387.9,11.0,84.2,0
-20.37,387.9,11.0,84.2,0
-20.43,387.9,11.0,84.2,0
-20.63,387.9,11.0,84.2,0
