Current_A,Voltage_V,Temperature_C,SOC_percent,Mask
-9.7,390.5,6.0,85.8,1
-9.7,390.5,6.0,85.8,0
-9.7,390.5,6.0,85.8,0
-10.05,390.5,6.0,85.8,0
-10.4,390.5,6.0,85.8,0
-10.75,390.5,6.0,85.75,0
-11.1,390.5,6.0,85.7,0
-10.95,390.3,6.0,85.7,0
-10.81,390.1,6.0,85.7,0
-11.26,390.2,6.0,85.7,0
-11.7,390.3,6.0,85.7,0
-11.6,390.2,6.0,85.7,0
-11.51,390.1,6.0,85.7,0
-11.96,390.05,6.0,85.7,0
-12.4,390.0,6.0,85.7,0
-12.75,390.0,6.0,85.7,0
-13.1,390.0,6.0,85.7,0
-13.1,389.85,6.0,85.7,0
-13.11,389.7,6.0,85.7,0
-14.06,389.7,6.0,85.7,0
-14.99,389.7,6.0,85.7,0
-14.54,389.6,6.0,85.7,0
-14.11,389.5,6.0,85.7,0
-14.66,389.45,6.0,85.7,0
-15.21,389.4,6.0,85.7,0
-15.96,389.35,6.0,85.7,0
-16.69,389.3,6.0,85.7,0
-16.19,389.25,6.0,85.7,0
-15.71,389.2,6.0,85.7,0
-16.51,389.2,6.0,85.7,0
-17.3,389.2,6.0,85.7,0
-17.35,389.1,6.0,85.7,0
-17.4,389.0,6.0,85.7,0
-17.65,388.95,6.0,85.7,0
-17.91,388.9,6.0,85.7,0
-18.36,388.85,6.0,85.7,0
-18.8,388.8,6.0,85.7,0
-18.9,388.75,6.0,85.7,0
-19.0,388.7,6.0,85.7,0
-19.25,388.65,6.0,85.7,0
-19.5,388.6,6.0,85.7,0
-19.5,388.6,6.0,85.7,0
-19.5,388.6,6.0,85.7,0
-19.45,388.6,6.0,85.7,0
-19.4,388.6,6.0,85.7,0
-19.45,388.6,6.0,85.7,0
-19.5,388.6,6.0,85.7,0
-19.5,388.55,6.0,85.7,0
-19.5,388.5,6.0,85.7,0
-19.5,388.5,6.0,85.7,0
-19.5,388.5,6.0,85.7,0
-19.5,388.5,6.0,85.7,0
-19.5,388.5,6.0,85.7,0
-19.4,388.5,6.0,85.7,0
-19.3,388.5,6.0,85.7,0
-19.25,388.55,6.0,85.7,0
-19.2,388.6,6.0,85.7,0
-19.2,388.55,6.0,85.7,0
-19.2,388.5,6.0,85.7,0
-19.15,388.55,6.0,85.7,0
-19.1,388.6,6.0,85.7,0
-19.0,388.6,6.0,85.7,0
-18.9,388.6,6.0,85.7,0
-18.8,388.6,6.0,85.7,0
-18.7,388.6,6.0,85.7,0
-18.7,388.6,6.0,85.7,0
-18.7,388.6,6.0,85.7,0
-18.5,388.6,6.0,85.7,0
-18.3,388.6,6.0,85.7,0
-18.35,388.6,6.0,85.7,0
-18.4,388.6,6.0,85.7,0
-18.3,388.6,6.0,85.7,0
-18.2,388.6,6.0,85.7,0
-18.0,388.6,6.0,85.7,0
-17.8,388.6,6.0,85.7,0
-18.05,388.6,6.0,85.7,0
-18.3,388.6,6.0,85.7,0
-18.05,388.6,6.0,85.7,0
-17.8,388.6,6.0,85.7,0
-17.8,388.6,6.0,85.7,0
-17.8,388.6,6.0,85.7,0
-17.95,388.6,6.0,85.7,0
-18.1,388.6,6.0,85.7,0
-17.85,388.6,6.0,85.7,0
-17.6,388.6,6.0,85.7,0
-17.75,388.65,6.0,85.7,0
-17.9,388.7,6.0,85.7,0
-17.75,388.65,6.0,85.7,0
-17.6,388.6,6.0,85.7,0
-17.35,388.6,6.0,85.7,0
-17.1,388.6,6.0,85.7,0
-17.35,388.65,6.0,85.7,0
-17.6,388.7,6.0,85.7,0
-17.3,388.65,6.0,85.7,0
-17.0,388.6,6.0,85.7,0
-17.2,388.65,6.0,85.7,0
-17.4,388.7,6.0,85.7,0
-17.35,388.7,6.0,85.7,0
-17.3,388.7,6.0,85.7,0
-17.15,388.7,6.0,85.7,0
-17.0,388.7,6.0,85.7,0
-17.2,388.7,6.0,85.7,0
-17.4,388.7,6.0,85.7,0
-17.15,388.7,6.0,85.7,0
-16.9,388.7,6.0,85.7,0
-17.2,388.7,6.0,85.7,0
-17.5,388.7,6.0,85.7,0
-17.3,388.7,6.0,85.7,0
-17.1,388.7,6.0,85.7,0
-17.05,388.65,6.0,85.7,0
-17.0,388.6,6.0,85.7,0
-17.0,388.65,6.0,85.7,0
-17.0,388.7,6.0,85.7,0
-16.85,388.7,6.0,85.7,0
-16.7,388.7,6.0,85.7,0
-16.85,388.7,6.0,85.7,0
-17.0,388.7,6.0,85.7,0
-17.05,388.7,6.0,85.7,0
-17.1,388.7,6.0,85.7,0
-16.95,388.65,6.0,85.7,0
-16.8,388.6,6.0,85.7,0
-17.0,388.65,6.0,85.7,0
-17.19,388.7,6.0,85.7,0
-16.84,388.65,6.0,85.7,0
-16.5,388.6,6.0,85.7,0
-16.55,388.6,6.0,85.7,0
-16.6,388.6,6.0,85.7,0
-16.7,388.65,6.0,85.7,0
-16.8,388.7,6.0,85.7,0
-16.5,388.65,6.0,85.7,0
-16.21,388.6,6.0,85.7,0
-16.56,388.65,6.0,85.7,0
-16.9,388.7,6.0,85.7,0
-16.65,388.65,6.0,85.7,0
-16.4,388.6,6.0,85.7,0
-16.6,388.6,6.0,85.65,0
-16.8,388.6,6.0,85.6,0
-16.9,388.6,6.0,85.6,0
-17.0,388.6,6.0,85.6,0
-16.7,388.6,6.0,85.6,0
-16.41,388.6,6.0,85.6,0
-16.76,388.6,6.0,85.6,0
-17.09,388.6,6.0,85.6,0
-16.69,388.6,6.0,85.6,0
-16.3,388.6,6.0,85.6,0
-16.4,388.6,6.0,85.6,0
-16.5,388.6,6.0,85.6,0
-16.8,388.6,6.0,85.6,0
-17.09,388.6,6.0,85.6,0
-16.59,388.6,6.0,85.6,0
-16.1,388.6,6.0,85.6,0
-16.2,388.6,6.0,85.6,0
-16.3,388.6,6.0,85.6,0
-16.45,388.6,6.0,85.6,0
-16.6,388.6,6.0,85.6,0
-16.4,388.6,6.0,85.6,0
-16.21,388.6,6.0,85.6,0
-16.66,388.6,6.0,85.6,0
-17.1,388.6,6.0,85.6,0
-16.85,388.6,6.0,85.6,0
-16.6,388.6,6.0,85.6,0
-16.65,388.6,6.0,85.6,0
-16.7,388.6,6.0,85.6,0
-16.75,388.6,6.0,85.6,0
-16.79,388.6,6.0,85.6,0
-16.39,388.55,6.0,85.6,0
-16.0,388.5,6.0,85.6,0
-16.2,388.55,6.0,85.6,0
-16.4,388.6,6.0,85.6,0
-16.25,388.55,6.0,85.6,0
-16.1,388.5,6.0,85.6,0
-16.15,388.5,6.0,85.6,0
-16.2,388.5,6.0,85.6,0
-16.45,388.55,6.0,85.6,0
-16.7,388.6,6.0,85.6,0
-16.55,388.55,6.0,85.6,0
-16.4,388.5,6.0,85.6,0
-16.65,388.55,6.0,85.6,0
-16.9,388.6,6.0,85.6,0
-16.7,388.55,6.0,85.6,0
-16.5,388.5,6.0,85.6,0
-16.55,388.5,6.0,85.6,0
-16.6,388.5,6.0,85.6,0
-16.65,388.5,6.0,85.6,0
-16.69,388.5,6.0,85.6,0
-16.34,388.5,6.0,85.6,0
-16.01,388.5,6.0,85.6,0
-16.36,388.5,6.0,85.6,0
-16.7,388.5,6.0,85.6,0
-16.6,388.5,6.0,85.6,0
-16.5,388.5,6.0,85.6,0
-16.35,388.5,6.0,85.6,0
-16.2,388.5,6.0,85.6,0
-16.5,388.5,6.0,85.6,0
-16.8,388.5,6.0,85.6,0
-16.5,388.5,6.0,85.6,0
-16.2,388.5,6.0,85.6,0
-16.45,388.5,6.0,85.6,0
-16.7,388.5,6.0,85.6,0
-16.65,388.5,6.0,85.6,0
-16.6,388.5,6.0,85.6,0
-16.4,388.45,6.0,85.6,0
-16.2,388.4,6.0,85.6,0
-16.5,388.45,6.0,85.6,0
-16.79,388.5,6.0,85.6,0
-16.44,388.5,6.0,85.6,0
-16.1,388.5,6.0,85.6,0
-16.2,388.5,6.0,85.6,0
-16.3,388.5,6.0,85.6,0
-16.5,388.5,6.0,85.6,0
