Current_A,Voltage_V,Temperature_C,SOC_percent,Mask
-1.0,392.1,16.0,86.8,1
-1.0,392.1,16.0,86.8,0
-1.0,392.1,16.0,86.8,0
-1.0,392.1,16.0,86.8,0
-1.0,392.1,16.0,86.8,0
-1.0,392.1,16.0,86.8,0
-1.0,392.1,16.0,86.8,0
-1.0,392.1,16.0,86.8,0
-1.0,392.1,16.0,86.8,0
-1.0,392.1,16.0,86.8,0
-0.95,392.1,16.0,86.8,1
-0.9,392.1,16.0,86.8,1
-0.95,392.1,16.0,86.8,1
-1.0,392.1,16.0,86.8,0
-1.0,392.1,16.0,86.8,0
-1.0,392.1,16.0,86.8,0
-1.1,392.1,16.0,86.8,0
-1.2,392.1,16.0,86.8,0
-1.3,392.1,16.0,86.8,0
-1.4,392.1,16.0,86.8,0
-1.45,392.1,16.0,86.8,0
-1.5,392.1,16.0,86.8,0
-1.65,392.05,16.0,86.8,0
-1.8,392.0,16.0,86.8,0
-2.04,392.0,16.0,86.8,0
-2.29,392.0,16.0,86.8,0
-2.74,391.95,16.0,86.8,0
-3.19,391.9,16.0,86.8,0
-3.68,391.85,16.0,86.8,0
-4.18,391.8,16.0,86.8,0
-4.59,391.75,16.0,86.8,0
-4.99,391.7,16.0,86.8,0
-5.48,391.65,16.0,86.8,0
-5.98,391.6,16.0,86.8,0
-6.53,391.55,16.0,86.8,0
-7.08,391.5,16.0,86.8,0
-7.39,391.45,16.0,86.8,0
-7.69,391.4,16.0,86.8,0
-7.99,391.4,16.0,86.8,0
-8.29,391.4,16.0,86.8,0
-9.36,391.3,16.0,86.8,0
-10.46,391.2,16.0,86.8,0
-11.37,391.1,16.0,86.8,0
-12.27,391.0,16.0,86.8,0
-12.64,390.95,16.0,86.8,0
-12.99,390.9,16.0,86.8,0
-13.19,390.85,16.0,86.8,0
-13.39,390.8,16.0,86.8,0
-13.11,390.85,16.0,86.8,0
-12.81,390.9,16.0,86.8,0
-11.98,390.95,16.0,86.8,0
-11.13,391.0,16.0,86.8,0
-10.18,391.1,16.0,86.8,0
-9.23,391.2,16.0,86.8,0
-8.52,391.25,16.0,86.8,0
