Current_A,Voltage_V,Temperature_C,SOC_percent,Mask
-6.2,390.3,24.0,83.5,1
-6.2,390.3,24.0,83.5,0
-6.42,390.33,24.0,83.5,0
-6.77,390.38,24.0,83.5,0
-6.71,390.37,24.0,83.5,0
-6.41,390.32,24.0,83.5,0
-6.46,390.3,24.0,83.5,0
-6.71,390.3,24.0,83.5,0
-7.46,390.3,24.0,83.5,0
-8.51,390.3,24.0,83.5,0
-8.59,390.24,24.0,83.5,0
-8.09,390.14,24.0,83.5,0
-8.56,390.1,24.0,83.5,0
-9.61,390.1,24.0,83.5,0
-9.75,390.07,24.0,83.5,0
-9.35,390.02,24.0,83.5,0
-9.67,390.0,24.0,83.5,0
-10.42,390.0,24.0,83.5,0
-10.67,390.0,24.0,83.5,0
-10.62,390.0,24.0,83.5,0
-10.82,389.97,24.0,83.5,0
-11.17,389.92,24.0,83.5,0
-11.64,389.9,24.0,83.5,0
-12.19,389.9,24.0,83.5,0
-12.21,389.87,24.0,83.5,0
-11.91,389.82,24.0,83.5,0
-11.93,389.83,24.0,83.5,0
-12.13,389.88,24.0,83.5,0
-12.04,389.87,24.0,83.5,0
-11.79,389.82,24.0,83.5,0
-12.23,389.83,24.0,83.5,0
-13.08,389.88,24.0,83.5,0
-13.74,389.87,24.0,83.5,0
-14.29,389.82,24.0,83.5,0
-14.09,389.77,24.0,83.5,0
-13.44,389.72,24.0,83.5,0
-13.89,389.7,24.0,83.5,0
-14.99,389.7,24.0,83.5,0
-15.12,389.7,24.0,83.5,0
-14.67,389.7,24.0,83.5,0
-14.12,389.67,24.0,83.5,0
-13.52,389.62,24.0,83.5,0
-13.17,389.66,24.0,83.5,0
-12.97,389.76,24.0,83.5,0
-12.21,389.77,24.0,83.5,0
-11.11,389.72,24.0,83.5,0
-10.83,389.73,24.0,83.5,0
-11.03,389.78,24.0,83.5,0
-10.6,389.83,24.0,83.5,0
-9.8,389.88,24.0,83.5,0
-9.78,389.87,24.0,83.5,0
-10.23,389.82,24.0,83.5,0
-10.84,389.83,24.0,83.5,0
-11.54,389.88,24.0,83.5,0
-11.2,389.87,24.0,83.5,0
-10.25,389.82,24.0,83.5,0
-10.4,389.83,24.0,83.5,0
-11.2,389.88,24.0,83.5,0
-11.19,389.9,24.0,83.5,0
-10.69,389.9,24.0,83.5,0
-10.63,389.84,24.0,83.5,0
-10.83,389.74,24.0,83.5,0
-11.5,389.76,24.0,83.5,0
-12.45,389.86,24.0,83.5,0
-12.2,389.87,24.0,83.5,0
-11.25,389.82,24.0,83.5,0
-11.12,389.8,24.0,83.5,0
-11.47,389.8,24.0,83.5,0
-11.82,389.8,24.0,83.5,0
-12.17,389.8,24.0,83.47,0
-11.64,389.77,24.0,83.42,0
-10.59,389.72,24.0,83.4,0
-10.67,389.73,24.0,83.4,0
-11.42,389.78,24.0,83.4,0
-11.35,389.8,24.0,83.4,0
-10.8,389.8,24.0,83.4,0
-11.29,389.77,24.0,83.4,0
-12.39,389.72,24.0,83.4,0
-13.24,389.7,24.0,83.4,0
-13.94,389.7,24.0,83.4,0
-13.98,389.64,24.0,83.4,0
-13.63,389.54,24.0,83.4,0
-14.25,389.53,24.0,83.4,0
-15.45,389.58,24.0,83.4,0
-15.02,389.6,24.0,83.4,0
-13.62,389.6,24.0,83.4,0
-12.85,389.63,24.0,83.4,0
-12.45,389.68,24.0,83.4,0
-12.43,389.73,24.0,83.4,0
-12.63,389.78,24.0,83.4,0
