Current_A,Voltage_V,Temperature_C,SOC_percent,Mask
-2.6,386.6,18.0,77.9,1
-2.6,386.6,18.0,77.9,0
-2.38,386.6,18.0,77.9,0
-2.08,386.6,18.0,77.9,0
-2.15,386.6,18.0,77.9,0
-2.35,386.6,18.0,77.9,0
-2.33,386.6,18.0,77.9,0
-2.23,386.6,18.0,77.9,0
-2.2,386.6,18.0,77.9,0
-2.2,386.6,18.0,77.9,0
-2.31,386.6,18.0,77.9,0
-2.46,386.6,18.0,77.9,0
-2.43,386.6,18.0,77.9,0
-2.33,386.6,18.0,77.9,0
-2.37,386.6,18.0,77.9,0
-2.47,386.6,18.0,77.9,0
-2.35,386.6,18.0,77.9,0
-2.15,386.6,18.0,77.9,0
-2.25,386.6,18.0,77.9,0
-2.45,386.6,18.0,77.9,0
-2.39,386.6,18.0,77.9,0
-2.24,386.6,18.0,77.9,0
-2.24,386.6,18.0,77.9,0
-2.29,386.6,18.0,77.9,0
-2.3,386.6,18.0,77.9,0
-2.3,386.6,18.0,77.9,0
-2.26,386.6,18.0,77.9,0
-2.21,386.6,18.0,77.9,0
-2.27,386.6,18.0,77.9,0
-2.37,386.6,18.0,77.9,0
-2.25,386.56,18.0,77.9,0
-2.05,386.51,18.0,77.9,0
-2.15,386.54,18.0,77.9,0
-2.35,386.59,18.0,77.9,0
-2.21,386.6,18.0,77.9,0
-1.96,386.6,18.0,77.9,0
-2.01,386.6,18.0,77.9,0
-2.16,386.6,18.0,77.9,0
-2.13,386.6,18.0,77.9,0
-2.03,386.6,18.0,77.9,0
-2.07,386.6,18.0,77.9,0
-2.17,386.6,18.0,77.9,0
-2.16,386.6,18.0,77.9,0
-2.11,386.6,18.0,77.9,0
-1.91,386.6,18.0,77.9,0
-1.66,386.6,18.0,77.9,0
-1.3,386.64,18.0,77.9,0
-0.9,386.69,18.0,77.9,1
-0.84,386.7,18.0,77.9,1
-0.89,386.7,18.0,77.9,1
-0.94,386.7,18.0,77.9,1
-0.99,386.7,18.0,77.9,1
-0.96,386.7,18.0,77.9,1
-0.91,386.7,18.0,77.9,1
-0.9,386.7,18.0,77.9,1
-0.9,386.7,18.0,77.9,1
-0.94,386.7,18.0,77.9,1
-0.99,386.7,18.0,77.9,1
-0.96,386.7,18.0,77.9,1
-0.91,386.7,18.0,77.9,1
-0.9,386.7,18.0,77.9,1
-0.9,386.7,18.0,77.9,1
-0.9,386.7,18.0,77.9,1
-0.9,386.7,18.0,77.9,1
-0.94,386.7,18.0,77.9,1
-0.99,386.7,18.0,77.9,1
-0.96,386.7,18.0,77.9,1
-0.91,386.7,18.0,77.9,1
-0.94,386.7,18.0,77.9,1
-0.99,386.7,18.0,77.9,1
-1.0,386.7,18.0,77.9,0
-1.0,386.7,18.0,77.9,0
-0.93,386.7,18.0,77.9,1
-0.83,386.7,18.0,77.9,1
-0.87,386.7,18.0,77.9,1
-0.97,386.7,18.0,77.9,1
-1.0,386.7,18.0,77.9,0
-1.0,386.7,18.0,77.9,0
-0.96,386.7,18.0,77.9,1
-0.91,386.7,18.0,77.9,1
-0.94,386.7,18.0,77.9,1
-0.99,386.7,18.0,77.9,1
-1.0,386.7,18.0,77.9,0
-1.0,386.7,18.0,77.9,0
